Side House and Back House 3/16 12am

1.69mm Card
1 34 station_c0_side_house_c7_chimney_c2_four_walls_p2_back_wall
1 35 station_c0_side_house_c7_chimney_c2_four_walls_p3_front_wall
1 39 station_c0_side_house_c7_chimney_c3_top_p3_top_1_1
1 46 station_c1_back_house_c1_back_wall_p2_inside_wall
1 47 station_c1_back_house_c2_right_wall_p1_outside_wall_0
1 48 station_c1_back_house_c2_right_wall_p1_outside_wall_1
1 71 station_c1_back_house_c6_chimney_c3_top_p2_top_1_0
1 72 station_c1_back_house_c6_chimney_c3_top_p3_top_1_1
1 73 station_c1_back_house_c6_chimney_c3_top_p4_top_1_2
2 3 station_c0_side_house_c1_front_wall_p2_inside_wall
2 4 station_c0_side_house_c2_back_wall_p1_outside_wall_0
2 5 station_c0_side_house_c2_back_wall_p1_outside_wall_1
2 16 station_c0_side_house_c4_left_wall_p1_inside_wall
2 21 station_c0_side_house_c5_front_roof_p4_roof_layer_4
2 26 station_c0_side_house_c6_back_roof_p4_roof_layer_4
2 32 station_c0_side_house_c7_chimney_c2_four_walls_p0_right_wall
2 37 station_c0_side_house_c7_chimney_c3_top_p1_top_0_1
2 41 station_c0_side_house_c7_chimney_c3_top_p5_top_2_0
2 42 station_c0_side_house_c7_chimney_c3_top_p6_top_3_0
2 43 station_c1_back_house_c0_floor_p1_inside_floor
2 63 station_c1_back_house_c6_chimney_c1_four_walls_p2_back_wall
2 64 station_c1_back_house_c6_chimney_c1_four_walls_p3_front_wall
2 69 station_c1_back_house_c6_chimney_c3_top_p0_top_0_0
2 70 station_c1_back_house_c6_chimney_c3_top_p1_top_0_1
2 74 station_c1_back_house_c6_chimney_c3_top_p5_top_2_0
2 75 station_c1_back_house_c6_chimney_c3_top_p6_top_3_0
3 17 station_c0_side_house_c5_front_roof_p0_roof_layer_0
3 19 station_c0_side_house_c5_front_roof_p2_roof_layer_2
3 20 station_c0_side_house_c5_front_roof_p3_roof_layer_3
3 22 station_c0_side_house_c6_back_roof_p0_roof_layer_0
3 23 station_c0_side_house_c6_back_roof_p1_roof_layer_1
3 24 station_c0_side_house_c6_back_roof_p2_roof_layer_2
3 25 station_c0_side_house_c6_back_roof_p3_roof_layer_3
4 6 station_c0_side_house_c2_back_wall_p2_inside_wall
4 7 station_c0_side_house_c2_back_wall_c0_window_p0_frame
4 9 station_c0_side_house_c2_back_wall_c1_window_p0_frame
4 12 station_c0_side_house_c2_back_wall_c2_window_p1_sill
4 28 station_c0_side_house_c7_chimney_c1_four_walls_p0_right_wall
4 29 station_c0_side_house_c7_chimney_c1_four_walls_p1_left_wall
4 36 station_c0_side_house_c7_chimney_c3_top_p0_top_0_0
4 38 station_c0_side_house_c7_chimney_c3_top_p2_top_1_0
4 40 station_c0_side_house_c7_chimney_c3_top_p4_top_1_2
4 49 station_c1_back_house_c2_right_wall_p2_inside_wall
4 55 station_c1_back_house_c4_front_roof_p4_roof_layer_4
4 56 station_c1_back_house_c5_back_roof_p0_roof_layer_0
4 57 station_c1_back_house_c5_back_roof_p1_roof_layer_1
4 58 station_c1_back_house_c5_back_roof_p2_roof_layer_2
4 59 station_c1_back_house_c5_back_roof_p3_roof_layer_3
4 60 station_c1_back_house_c5_back_roof_p4_roof_layer_4
4 61 station_c1_back_house_c6_chimney_c1_four_walls_p0_right_wall
4 62 station_c1_back_house_c6_chimney_c1_four_walls_p1_left_wall
5 27 station_c0_side_house_c7_chimney_c0_core_p4_core_wall_layer_0
5 30 station_c0_side_house_c7_chimney_c1_four_walls_p2_back_wall
5 31 station_c0_side_house_c7_chimney_c1_four_walls_p3_front_wall
5 50 station_c1_back_house_c3_left_wall_p1_inside_wall
5 51 station_c1_back_house_c4_front_roof_p0_roof_layer_0
5 52 station_c1_back_house_c4_front_roof_p1_roof_layer_1
5 53 station_c1_back_house_c4_front_roof_p2_roof_layer_2
5 54 station_c1_back_house_c4_front_roof_p3_roof_layer_3
5 65 station_c1_back_house_c6_chimney_c2_four_walls_p0_right_wall
5 66 station_c1_back_house_c6_chimney_c2_four_walls_p1_left_wall
5 67 station_c1_back_house_c6_chimney_c2_four_walls_p2_back_wall
5 68 station_c1_back_house_c6_chimney_c2_four_walls_p3_front_wall




Main House and Porch House 3/12 5pm

1.69mm Card
0 0 station_c0_main_house_c0_floor_p0_base_floor_0
0 2 station_c0_main_house_c1_front_wall_p0_base_wall_0
0 3 station_c0_main_house_c1_front_wall_p0_base_wall_1
1 1 station_c0_main_house_c0_floor_p0_base_floor_1
1 4 station_c0_main_house_c2_back_wall_p0_base_wall_0
1 5 station_c0_main_house_c2_back_wall_p0_base_wall_1
2 6 station_c0_main_house_c3_right_wall_p0_base_wall_0
2 7 station_c0_main_house_c3_right_wall_p0_base_wall_1
2 8 station_c0_main_house_c4_left_wall_p0_base_wall_0
2 9 station_c0_main_house_c4_left_wall_p0_base_wall_1
2 10 station_c0_main_house_c7_rafter0_p0_base_wall_0
2 11 station_c0_main_house_c7_rafter0_p0_base_wall_1
2 14 station_c0_main_house_c9_chimney_c0_core_p0_core_base_layer_0
2 15 station_c0_main_house_c9_chimney_c0_core_p1_core_base_layer_1
2 16 station_c0_main_house_c9_chimney_c0_core_p2_core_base_layer_2
2 18 station_c0_main_house_c10_chimney_c0_core_p1_core_base_layer_1
2 20 station_c1_porch_house_c0_floor_p0_base_floor
2 21 station_c1_porch_house_c1_front_wall_p0_base_wall
2 22 station_c1_porch_house_c2_back_wall_p0_base_wall
3 12 station_c0_main_house_c8_rafter1_p0_base_wall_0
3 13 station_c0_main_house_c8_rafter1_p0_base_wall_1
3 17 station_c0_main_house_c10_chimney_c0_core_p0_core_base_layer_0
3 19 station_c0_main_house_c10_chimney_c0_core_p2_core_base_layer_2
3 23 station_c1_porch_house_c3_right_wall_p0_base_wall
3 24 station_c1_porch_house_c4_left_wall_p0_base_wall
3 25 station_c1_porch_house_c4_left_wall_c0_connector_slots_p0_pin0
3 26 station_c1_porch_house_c4_left_wall_c0_connector_slots_p1_pin1

0.56mm Card
0 0 station_c0_main_house_c0_floor_p1_inside_floor
0 1 station_c0_main_house_c1_front_wall_p1_outside_wall_0
0 2 station_c0_main_house_c1_front_wall_p1_outside_wall_1
0 39 station_c0_main_house_c9_chimney_c0_core_p3_core_wall_layer_0
0 40 station_c0_main_house_c9_chimney_c0_core_p4_core_wall_layer_1
0 41 station_c0_main_house_c9_chimney_c1_four_walls_p0_right_wall
0 42 station_c0_main_house_c9_chimney_c1_four_walls_p1_left_wall
0 52 station_c0_main_house_c9_chimney_c3_top_p3_top_1_1
0 76 station_c1_porch_house_c1_front_wall_p2_inside_wall
0 79 station_c1_porch_house_c2_back_wall_p2_inside_wall
1 4 station_c0_main_house_c2_back_wall_p1_outside_wall_0
1 5 station_c0_main_house_c2_back_wall_p1_outside_wall_1
1 8 station_c0_main_house_c2_back_wall_c2_window_p1_sill
1 10 station_c0_main_house_c2_back_wall_c3_window_p1_sill
1 12 station_c0_main_house_c2_back_wall_c4_window_p1_sill
1 14 station_c0_main_house_c2_back_wall_c5_window_p1_sill
1 16 station_c0_main_house_c2_back_wall_c6_window_p1_sill
1 20 station_c0_main_house_c3_right_wall_c0_window_p0_frame
1 27 station_c0_main_house_c4_left_wall_p1_outside_wall_1
1 51 station_c0_main_house_c9_chimney_c3_top_p2_top_1_0
1 75 station_c1_porch_house_c1_front_wall_p1_outside_wall_1
1 77 station_c1_porch_house_c2_back_wall_p1_outside_wall_0
1 78 station_c1_porch_house_c2_back_wall_p1_outside_wall_1
2 3 station_c0_main_house_c1_front_wall_p2_inside_wall
2 6 station_c0_main_house_c2_back_wall_p2_inside_wall
2 55 station_c0_main_house_c9_chimney_c3_top_p6_top_3_0
2 58 station_c0_main_house_c10_chimney_c1_four_walls_p0_right_wall
2 59 station_c0_main_house_c10_chimney_c1_four_walls_p1_left_wall
2 72 station_c0_main_house_c10_chimney_c3_top_p6_top_3_0
3 19 station_c0_main_house_c3_right_wall_p2_inside_wall
3 28 station_c0_main_house_c4_left_wall_p2_inside_wall
3 31 station_c0_main_house_c5_back_roof_p2_roof_layer_2
3 32 station_c0_main_house_c5_back_roof_p3_roof_layer_3
3 33 station_c0_main_house_c5_back_roof_p4_roof_layer_4
3 73 station_c1_porch_house_c0_floor_p1_inside_floor
3 82 station_c1_porch_house_c3_right_wall_p2_inside_wall
3 85 station_c1_porch_house_c4_left_wall_p1_inside_wall
4 7 station_c0_main_house_c2_back_wall_c2_window_p0_frame
4 9 station_c0_main_house_c2_back_wall_c3_window_p0_frame
4 11 station_c0_main_house_c2_back_wall_c4_window_p0_frame
4 13 station_c0_main_house_c2_back_wall_c5_window_p0_frame
4 15 station_c0_main_house_c2_back_wall_c6_window_p0_frame
4 21 station_c0_main_house_c3_right_wall_c0_window_p1_sill
4 22 station_c0_main_house_c3_right_wall_c1_window_p0_frame
4 36 station_c0_main_house_c6_front_roof_p2_roof_layer_2
4 37 station_c0_main_house_c6_front_roof_p3_roof_layer_3
4 38 station_c0_main_house_c6_front_roof_p4_roof_layer_4
4 43 station_c0_main_house_c9_chimney_c1_four_walls_p2_back_wall
4 44 station_c0_main_house_c9_chimney_c1_four_walls_p3_front_wall
4 46 station_c0_main_house_c9_chimney_c2_four_walls_p1_left_wall
4 56 station_c0_main_house_c10_chimney_c0_core_p3_core_wall_layer_0
4 57 station_c0_main_house_c10_chimney_c0_core_p4_core_wall_layer_1
4 60 station_c0_main_house_c10_chimney_c1_four_walls_p2_back_wall
4 61 station_c0_main_house_c10_chimney_c1_four_walls_p3_front_wall
4 84 station_c1_porch_house_c3_right_wall_c0_door_p1_door
4 88 station_c1_porch_house_c5_front_roof_p2_roof_layer_2
4 89 station_c1_porch_house_c5_front_roof_p3_roof_layer_3
4 90 station_c1_porch_house_c6_back_roof_p0_roof_layer_0
4 91 station_c1_porch_house_c6_back_roof_p1_roof_layer_1
4 92 station_c1_porch_house_c6_back_roof_p2_roof_layer_2
4 93 station_c1_porch_house_c6_back_roof_p3_roof_layer_3
5 23 station_c0_main_house_c3_right_wall_c1_window_p1_sill
5 24 station_c0_main_house_c3_right_wall_c2_window_p0_frame
5 29 station_c0_main_house_c5_back_roof_p0_roof_layer_0
5 30 station_c0_main_house_c5_back_roof_p1_roof_layer_1
5 35 station_c0_main_house_c6_front_roof_p1_roof_layer_1
5 45 station_c0_main_house_c9_chimney_c2_four_walls_p0_right_wall
5 47 station_c0_main_house_c9_chimney_c2_four_walls_p2_back_wall
5 48 station_c0_main_house_c9_chimney_c2_four_walls_p3_front_wall
5 49 station_c0_main_house_c9_chimney_c3_top_p0_top_0_0
5 50 station_c0_main_house_c9_chimney_c3_top_p1_top_0_1
5 53 station_c0_main_house_c9_chimney_c3_top_p4_top_1_2
5 54 station_c0_main_house_c9_chimney_c3_top_p5_top_2_0
5 62 station_c0_main_house_c10_chimney_c2_four_walls_p0_right_wall
5 63 station_c0_main_house_c10_chimney_c2_four_walls_p1_left_wall
5 64 station_c0_main_house_c10_chimney_c2_four_walls_p2_back_wall
5 65 station_c0_main_house_c10_chimney_c2_four_walls_p3_front_wall
5 66 station_c0_main_house_c10_chimney_c3_top_p0_top_0_0
5 67 station_c0_main_house_c10_chimney_c3_top_p1_top_0_1
5 68 station_c0_main_house_c10_chimney_c3_top_p2_top_1_0
5 69 station_c0_main_house_c10_chimney_c3_top_p3_top_1_1
5 70 station_c0_main_house_c10_chimney_c3_top_p4_top_1_2
5 71 station_c0_main_house_c10_chimney_c3_top_p5_top_2_0
6 17 station_c0_main_house_c3_right_wall_p1_outside_wall_0
6 18 station_c0_main_house_c3_right_wall_p1_outside_wall_1
6 25 station_c0_main_house_c3_right_wall_c2_window_p1_sill
6 26 station_c0_main_house_c4_left_wall_p1_outside_wall_0
6 34 station_c0_main_house_c6_front_roof_p0_roof_layer_0
6 74 station_c1_porch_house_c1_front_wall_p1_outside_wall_0
6 80 station_c1_porch_house_c3_right_wall_p1_outside_wall_0
6 81 station_c1_porch_house_c3_right_wall_p1_outside_wall_1
6 83 station_c1_porch_house_c3_right_wall_c0_door_p0_frame
6 86 station_c1_porch_house_c5_front_roof_p0_roof_layer_0
6 87 station_c1_porch_house_c5_front_roof_p1_roof_layer_1
OK
